No.  Insertion  Selection
370     1.343   0.689
371     1.336   0.681
372     1.334   0.684
373     1.351   0.685
374     1.365   0.666
375     1.362   0.702
376     1.377   0.687
377     1.379   0.724
378     1.397   0.709
379     1.374   0.703
380     1.405   0.719
381     1.397   0.721
382     1.413   0.720
383     1.404   0.716
384     1.431   0.737
385     1.405   0.731
386     1.420   0.723
387     1.426   0.755
388     1.439   0.760
389     1.471   0.738
390     1.458   0.762
391     1.455   0.743
392     1.455   0.767
393     1.474   0.773
394     1.515   0.849
395     1.663   0.776
396     1.546   0.778
397     1.518   0.783
398     1.504   0.777
399     1.532   0.777
400     1.521   0.780
401     1.547   0.808
402     1.544   0.810
403     1.560   0.815
404     1.537   0.792
405     1.556   0.800
406     1.562   0.792
407     1.577   0.812
408     1.569   0.808
409     1.584   0.817
410     1.594   0.818
411     1.605   0.846
412     1.635   0.839
413     1.619   0.830
414     1.614   0.825
415     1.620   0.834
416     1.637   0.865
417     1.644   0.845
418     1.671   0.831
419     1.657   0.853
420     1.682   0.850
421     1.677   0.853
422     1.709   0.888
423     1.687   0.860
424     1.692   0.898
425     1.698   0.872
426     1.719   0.883
427     1.729   0.882
428     1.743   0.879
429     1.743   0.896
430     1.747   0.900
431     1.750   0.911
432     1.790   0.924
433     1.780   0.910
434     1.817   0.940
435     1.797   0.930
436     1.786   0.927
437     1.803   0.931
438     1.821   0.933
439     1.822   0.938
459     2.041   1.031
460     2.117   1.036
461     2.016   1.035
462     2.007   1.051
463     2.048   1.054
464     2.146   1.058
465     2.053   1.053
466     2.086   1.070
467     2.107   1.078
468     2.075   1.071
469     2.098   1.083
470     2.099   1.086
471     2.096   1.090
472     2.128   1.119
473     2.134   1.093
474     2.124   1.095
475     2.143   1.104
476     2.183   1.134
477     2.152   1.115
478     2.182   1.140
479     2.160   1.129
480     2.176   1.126
481     2.172   1.133
482     2.205   1.129
483     2.208   1.117
484     2.232   1.143
485     2.239   1.159
486     2.228   1.148
487     2.230   1.150
488     2.280   1.170
489     2.264   1.161
490     2.275   1.181
491     2.289   1.169
492     2.310   1.175
493     2.298   1.179
494     2.331   1.203
495     2.338   1.287
496     2.371   1.199
497     2.374   1.203
498     2.340   1.208
499     2.369   1.296
500     2.368   1.223
501     2.352   1.219
502     2.399   1.209
503     2.405   1.234
504     2.408   1.237
